"mz","Intensity"
360.2048,9.538
369.3115,6.018
388.8942,10.37
411.9386,8.538
412.7102,10.02
428.3279,8.556
431.2198,6.035
444.2856,14
483.2711,10.83
499.2606,9
501.3063,21
504.2449,5.018
515.2994,9
525.2142,6.538
530.3237,16.27
532.2915,7.018
546.3079,5.036
548.2662,6.538
557.327,7.037
559.2971,5.036
572.3388,8.368
588.3323,23
609.3232,8
616.3454,9
627.3387,30.27
630.3204,6.287
632.341,5
641.2507,8.287
641.3674,6.566
644.3584,9.018
645.3568,379
646.3393,14.55
658.3766,12.29
660.3488,7
672.3531,8.019
674.3546,6.269
676.3091,5.018
688.3682,5.269
697.3563,4
711.3299,10.54
712.3731,3.41
716.4005,5
727.4067,5.279
736.4059,6.269
741.3962,7.574
742.3599,1.686
744.4256,13
745.4124,17
748.3629,3.269
754.4079,44
765.3472,10.81
767.4504,8.556
769.3801,5.018
787.4351,4.538
795.3822,13.56
821.4418,8.843
840.4608,40
964.4719,2.018
1087.6056,7.018
1100.532,6.386
1179.5803,5
1257.6372,5.646
1285.6754,53.02
130.0582,25
136.076,34
147.0747,60.07
193.0999,16
239.1109,17
246.1409,17
260.1616,55
288.1615,16
357.2143,21
368.1836,17.23
383.8951,17
385.2165,48.47
387.2274,30.19
397.2069,16
409.1652,20
416.2615,17.07
417.7283,29
426.7302,20
435.2325,21
435.6667,35.16
436.2315,45.64
498.3001,56.12
505.3101,22
566.3239,25
583.3835,55
587.3015,13
596.2991,13.08
605.3552,16
606.3682,42
610.4145,18
611.3905,179
642.3345,13
656.3167,13.11
696.4748,48
706.4041,17
707.4074,25
723.3459,9.076
724.4728,227
745.4349,16.14
757.3572,8
778.2513,25.15
873.5145,11.34
173.1282,40
175.122,12
233.1553,15
249.1376,12.81
288.1738,21.86
340.1555,15
356.1759,12
413.987,12.81
431.2411,28
440.169,12.81
462.2557,30.78
545.2748,12
564.2766,12.05
569.3101,12
585.2581,15.81
589.3106,12
590.3305,12
602.376,15
605.3265,15.05
632.3792,47
636.3151,25.81
644.374,57
650.3046,12
662.3721,48.05
674.3589,9.807
689.3009,12.81
707.3567,12.05
710.3666,9
732.3849,9
749.3694,6.054
763.4227,12
765.4354,6
773.4771,12
775.3699,6
790.3856,6
791.3974,9.054
807.3771,12
808.4189,6
813.4013,7.698
813.4166,9
840.5004,9.054
844.4544,15
862.4876,257.8
1003.4609,13.16
1035.5444,10.1
1145.6068,10.16
1241.6301,10.91
173.1234,42.16
201.1217,26
203.104,26.08
215.1137,21.11
238.1112,21.15
251.1246,30
305.1663,17
322.1926,17
329.1872,16
